Time (seconds),strength
0.77,980
0.87,983
0.97,991
1.08,970
1.18,972
1.28,989
1.39,977
1.49,984
1.60,975
1.70,982
1.80,983
1.91,972
2.01,982
2.12,966
2.22,972
2.32,975
2.43,979
2.53,968
2.64,995
2.74,981
2.84,996
2.95,979
3.05,972
3.16,980
3.26,975
3.36,983
3.49,983
3.59,984
3.70,1010
3.80,985
3.90,978
4.01,968
4.11,987
4.22,980
4.32,977
4.42,984
4.53,980
4.63,995
4.74,980
4.84,979
4.94,987
5.05,975
5.15,975
5.26,976
5.36,982
5.46,980
5.57,991
5.67,987
5.78,983
5.88,972
5.98,983
6.09,984
6.19,984
6.30,988
6.40,980
6.52,972
6.63,972
6.73,980
6.84,979
6.94,975
7.04,972
7.15,975
7.25,980
7.36,980
7.46,979
7.56,980
7.67,983
7.77,980
7.88,983
7.98,980
8.08,979
8.19,986
8.29,971
8.40,979
8.50,975
8.60,990
8.71,975
8.81,979
8.92,985
9.02,983
9.12,976
9.23,984
9.33,976
9.46,984
9.56,984
9.66,983
9.77,991
9.87,976
9.98,985
10.08,971
10.18,983
10.29,968
10.39,975
10.50,971
10.60,984
10.70,993
10.81,982
10.91,972
11.02,987
11.12,993
11.22,977
11.33,980
11.43,971
11.54,978
11.64,983
11.74,984
11.85,976
11.95,971
12.06,976
12.18,983
12.28,984
12.39,980
12.49,978
12.60,978
12.70,986
12.80,987
12.91,979
13.01,992
13.12,990
13.22,979
13.32,983
13.43,987
13.53,983
13.64,976
13.74,972
13.84,984
13.95,981
14.05,984
14.16,987
14.26,976
14.36,976
14.47,984
14.57,988
14.68,983
14.78,970
14.90,979
15.01,982
15.11,981
15.22,980
15.32,994
15.42,976
15.53,974
15.63,972
15.74,976
15.84,988
15.94,984
16.05,981
16.15,987
16.26,979
16.36,978
16.46,970
16.57,991
16.67,981
16.78,987
16.88,983
16.98,983
17.09,980
17.19,972
17.30,982
17.40,979
17.51,993
17.62,982
17.73,973
17.83,983
17.94,972
18.04,978
18.14,989
18.25,978
18.35,984
18.46,983
18.56,980
18.66,988
18.77,980
18.87,974
18.98,980
19.08,983
19.18,985
19.29,981
19.39,983
19.50,983
19.60,984
19.70,986
19.81,983
19.91,979
20.02,988
20.12,976
20.24,980
20.35,982
20.45,979
20.56,982
20.66,984
20.76,979
20.87,980
20.97,984
21.08,980
21.18,988
21.28,983
21.39,979
21.49,968
21.60,980
21.70,979
21.80,979
21.91,980
22.01,976
22.12,977
22.22,980
22.32,987
22.43,974
22.53,987
22.64,980
22.74,980
22.84,976
22.97,976
23.07,984
23.18,979
23.28,979
23.38,984
23.49,982
23.59,976
23.70,968
23.80,980
23.90,982
24.01,976
24.11,991
24.22,980
24.32,985
24.42,989
24.53,983
24.63,991
24.74,983
24.84,979
24.94,985
25.05,988
25.15,985
25.26,993
25.36,971
25.46,995
25.59,971
25.69,978
25.80,979
25.90,976
26.00,975
26.11,977
26.21,980
26.32,976
26.42,977
26.52,980
26.63,980
26.73,985
26.84,987
26.94,972
27.04,981
27.15,979
27.25,980
27.36,975
27.46,972
27.56,980
27.67,983
27.77,980
27.88,974
27.98,980
28.08,973
28.19,980
28.31,979
28.42,987
28.52,979
28.62,980
28.73,979
28.83,976
28.94,984
29.04,986
29.14,995
29.25,974
29.35,975
29.46,984
29.56,983
29.66,979
29.77,980
29.87,986
29.98,971
30.08,974
30.18,980
30.29,982
30.39,970
30.50,983
30.60,967
30.70,978
30.81,981
30.92,973
31.03,986
31.14,984
31.24,976
31.34,979
31.45,984
31.55,982
31.66,987
31.76,983
31.86,983
31.97,980
32.07,985
32.18,984
32.28,981
32.38,987
32.49,984
32.59,982
32.70,991
32.80,977
32.90,976
33.01,980
33.11,978
33.22,984
33.32,983
33.42,980
33.53,976
33.65,982
33.76,983
33.86,997
33.96,972
34.07,979
34.17,978
34.28,980
34.38,968
34.48,984
34.59,976
34.69,980
34.80,984
34.90,985
35.00,983
35.11,980
35.21,983
35.32,980
35.42,983
35.52,984
35.63,987
35.73,984
35.84,987
35.94,980
36.04,976
36.15,992
36.25,987
36.38,978
36.48,980
36.58,983
36.69,983
36.79,979
36.90,983
37.00,977
37.10,980
37.21,981
37.31,979
37.42,981
37.52,979
37.62,983
37.73,983
37.83,981
37.94,976
38.04,979
38.14,989
38.25,984
38.35,980
38.46,983
38.56,976
38.66,964
38.77,976
38.87,993
39.00,978
39.10,980
39.20,968
39.31,979
39.41,983
39.52,980
39.62,976
39.72,990
39.83,973
39.93,984
40.04,977
40.14,979
40.24,978
40.35,979
40.45,976
40.56,983
40.66,991
40.76,983
40.87,984
40.97,976
41.08,975
41.18,975
41.28,983
41.39,972
41.49,966
41.60,979
41.72,971
41.82,989
41.93,983
42.03,979
42.14,988
42.24,974
42.34,980
42.45,979
42.55,981
42.66,986
42.76,983
42.86,981
42.97,975
43.07,981
43.18,986
43.28,985
43.38,984
43.49,980
43.59,980
43.70,980
43.80,987
43.90,989
44.01,983
44.11,972
44.22,975
44.43,984
44.54,975
44.65,971
44.75,987
44.86,981
44.96,980
45.06,983
45.17,980
45.27,981
45.38,980
45.48,978
45.58,982
45.69,979
45.79,975
45.90,984
46.00,980
46.10,980
46.21,988
46.31,975
46.42,976
46.52,975
46.62,987
46.73,979
46.83,983
46.94,988
47.04,972
47.16,989
47.27,969
47.37,984
47.48,987
47.58,980
47.68,980
47.79,980
47.89,974
48.00,971
48.10,971
48.20,983
48.31,979
48.41,980
48.52,984
48.62,980
48.72,979
48.83,980
48.93,977
49.04,986
49.14,974
49.24,976
49.35,978
49.45,975
49.56,979
49.66,982
49.76,987
49.89,981
49.99,986
50.10,975
50.20,977
50.30,987
50.41,983
50.51,981
50.62,975
50.72,976
50.82,975
50.93,977
51.03,979
51.14,983
51.24,983
51.34,991
51.45,980
51.55,974
51.66,979
51.76,976
51.86,972
51.97,981
52.07,982
52.18,988
52.28,972
52.38,976
52.51,983
52.61,984
52.72,993
52.82,987
52.92,984
53.03,975
53.13,988
53.24,987
53.34,980
53.44,984
53.55,980
53.65,988
53.76,976
53.86,971
53.96,984
54.07,981
54.17,979
54.28,976
54.38,987
54.48,976
54.59,980
54.69,981
